[info](2023-10-10 23:18:00) session[fbb0538e-c1ec-43f4-86ae-4a2ee37f0e7b] 已连接成功 | ip = 192.168.31.237, port = 37582
[warning](2023-10-10 23:18:35) handle_checkHeartBeat | session[fbb0538e-c1ec-43f4-86ae-4a2ee37f0e7b] 心跳包超时 = 11
[error](2023-10-10 23:18:35)  handle_readhead | session[fbb0538e-c1ec-43f4-86ae-4a2ee37f0e7b] 连接断开, error = Operation canceled [system:125 at /usr/local/include/boost/asio/detail/reactive_socket_recv_op.hpp:129 in function 'do_complete']
[info](2023-10-10 23:18:37) session[e459e453-47ee-44ee-8317-3a7b93850c08] 已连接成功 | ip = 192.168.31.237, port = 37596
[warning](2023-10-10 23:18:47) handle_checkHeartBeat | session[e459e453-47ee-44ee-8317-3a7b93850c08] 心跳包超时 = 10
[error](2023-10-10 23:18:47)  handle_readhead | session[e459e453-47ee-44ee-8317-3a7b93850c08] 连接断开, error = Operation canceled [system:125 at /usr/local/include/boost/asio/detail/reactive_socket_recv_op.hpp:129 in function 'do_complete']
[info](2023-10-10 23:18:57) session[51732d59-06e2-4c3d-8819-c1fa3d943a94] 已连接成功 | ip = 192.168.31.237, port = 37598
[warning](2023-10-10 23:19:07) handle_checkHeartBeat | session[51732d59-06e2-4c3d-8819-c1fa3d943a94] 心跳包超时 = 10
[error](2023-10-10 23:19:07)  handle_readhead | session[51732d59-06e2-4c3d-8819-c1fa3d943a94] 连接断开, error = Operation canceled [system:125 at /usr/local/include/boost/asio/detail/reactive_socket_recv_op.hpp:129 in function 'do_complete']
[info](2023-10-10 23:19:15) session[eb9a9f01-eebd-43f4-ba30-c5e299ba8099] 已连接成功 | ip = 192.168.31.237, port = 37606
[warning](2023-10-10 23:19:25) handle_checkHeartBeat | session[eb9a9f01-eebd-43f4-ba30-c5e299ba8099] 心跳包超时 = 10
[error](2023-10-10 23:19:25)  handle_readhead | session[eb9a9f01-eebd-43f4-ba30-c5e299ba8099] 连接断开, error = Operation canceled [system:125 at /usr/local/include/boost/asio/detail/reactive_socket_recv_op.hpp:129 in function 'do_complete']
[info](2023-10-10 23:20:05) session[9ce67e62-c7f4-4bb8-8994-c1e793923a37] 已连接成功 | ip = 192.168.31.237, port = 37610
[warning](2023-10-10 23:20:15) handle_checkHeartBeat | session[9ce67e62-c7f4-4bb8-8994-c1e793923a37] 心跳包超时 = 10
[error](2023-10-10 23:20:15)  handle_readhead | session[9ce67e62-c7f4-4bb8-8994-c1e793923a37] 连接断开, error = Operation canceled [system:125 at /usr/local/include/boost/asio/detail/reactive_socket_recv_op.hpp:129 in function 'do_complete']
[info](2023-10-10 23:21:36) session[f5392d0e-560b-4474-a090-6180aa6cf9c5] 已连接成功 | ip = 192.168.31.237, port = 37612
[warning](2023-10-10 23:21:46) handle_checkHeartBeat | session[f5392d0e-560b-4474-a090-6180aa6cf9c5] 心跳包超时 = 10
[error](2023-10-10 23:21:46)  handle_readhead | session[f5392d0e-560b-4474-a090-6180aa6cf9c5] 连接断开, error = Operation canceled [system:125 at /usr/local/include/boost/asio/detail/reactive_socket_recv_op.hpp:129 in function 'do_complete']
[info](2023-10-10 23:24:36) session[adcdd63d-8049-4d32-abe3-eae201f67818] 已连接成功 | ip = 192.168.31.237, port = 37614
[warning](2023-10-10 23:24:46) handle_checkHeartBeat | session[adcdd63d-8049-4d32-abe3-eae201f67818] 心跳包超时 = 10
[error](2023-10-10 23:24:46)  handle_readhead | session[adcdd63d-8049-4d32-abe3-eae201f67818] 连接断开, error = Operation canceled [system:125 at /usr/local/include/boost/asio/detail/reactive_socket_recv_op.hpp:129 in function 'do_complete']
[info](2023-10-10 23:25:52) session[7b3abd58-1671-44cc-967a-e73aa82c0450] 已连接成功 | ip = 192.168.31.237, port = 37616
[warning](2023-10-10 23:26:02) handle_checkHeartBeat | session[7b3abd58-1671-44cc-967a-e73aa82c0450] 心跳包超时 = 10
[error](2023-10-10 23:26:02)  handle_readhead | session[7b3abd58-1671-44cc-967a-e73aa82c0450] 连接断开, error = Operation canceled [system:125 at /usr/local/include/boost/asio/detail/reactive_socket_recv_op.hpp:129 in function 'do_complete']
[info](2023-10-10 23:28:37) session[fd432d0c-c00a-4528-8af7-1ed5c1ea5c84] 已连接成功 | ip = 192.168.31.237, port = 37626
[warning](2023-10-10 23:28:47) handle_checkHeartBeat | session[fd432d0c-c00a-4528-8af7-1ed5c1ea5c84] 心跳包超时 = 10
[error](2023-10-10 23:28:47)  handle_readhead | session[fd432d0c-c00a-4528-8af7-1ed5c1ea5c84] 连接断开, error = Operation canceled [system:125 at /usr/local/include/boost/asio/detail/reactive_socket_recv_op.hpp:129 in function 'do_complete']
[info](2023-10-10 23:30:20) session[3821785c-43e5-4d54-86ff-222cd356e4e2] 已连接成功 | ip = 192.168.31.237, port = 37636
[error](2023-10-10 23:30:28)  handle_readhead | session[3821785c-43e5-4d54-86ff-222cd356e4e2] 连接断开, error = End of file [asio.misc:2 at /usr/local/include/boost/asio/detail/reactive_socket_recv_op.hpp:129 in function 'do_complete']
[info](2023-10-10 23:30:36) session[a8677044-1fe1-4772-b463-27674b1b7426] 已连接成功 | ip = 192.168.31.79, port = 46028
